psql:/tmp/restore.sql:158382: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158383: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158384: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158385: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158386: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158387: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158388: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158389: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158390: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158391: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158392: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158393: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158394: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158395: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158396: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158397: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158398: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158399: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158400: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158401: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158402: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158403: error: backslash commands are restricted; only \unrestrict is allowed
psql:/tmp/restore.sql:158404: error: backslash commands are restricted; only \unrestrict is allowed
